"","ontology"
"GO:0010656","BP"
"GO:0010657","BP"
"GO:0010658","BP"
"GO:0010659","BP"
"GO:0010660","BP"
"GO:0010661","BP"
"GO:0010662","BP"
"GO:0010663","BP"
"GO:0010664","BP"
"GO:0010665","BP"
"GO:0010666","BP"
"GO:0010667","BP"
"GO:0010668","BP"
"GO:0010669","BP"
"GO:0010672","BP"
"GO:0010673","BP"
"GO:0010674","BP"
"GO:0010675","BP"
"GO:0010676","BP"
"GO:0010677","BP"
"GO:0010678","BP"
"GO:0010683","BP"
"GO:0010684","BP"
"GO:0010685","BP"
"GO:0010686","BP"
"GO:0010688","BP"
"GO:0010689","BP"
"GO:0010690","BP"
"GO:0010691","BP"
"GO:0010692","BP"
"GO:0010693","BP"
"GO:0010694","BP"
"GO:0010695","BP"
"GO:0010696","BP"
"GO:0010697","BP"
"GO:0010698","MF"
"GO:0010700","BP"
"GO:0010701","BP"
"GO:0010704","BP"
"GO:0010705","BP"
"GO:0010706","BP"
"GO:0010707","BP"
"GO:0010709","BP"
"GO:0010710","BP"
"GO:0010711","BP"
"GO:0010712","BP"
"GO:0010713","BP"
"GO:0010714","BP"
"GO:0010715","BP"
"GO:0010716","BP"
"GO:0010717","BP"
"GO:0010718","BP"
"GO:0010719","BP"
"GO:0010720","BP"
"GO:0010721","BP"
"GO:0010722","BP"
"GO:0010723","BP"
"GO:0010724","BP"
"GO:0010725","BP"
"GO:0010726","BP"
"GO:0010727","BP"
"GO:0010728","BP"
"GO:0010729","BP"
"GO:0010730","BP"
"GO:0010731","BP"
"GO:0010732","BP"
"GO:0010733","BP"
"GO:0010734","BP"
"GO:0010735","BP"
"GO:0010736","MF"
"GO:0010737","BP"
"GO:0010738","BP"
"GO:0010739","BP"
"GO:0010742","BP"
"GO:0010743","BP"
"GO:0010744","BP"
"GO:0010745","BP"
"GO:0010746","BP"
"GO:0010747","BP"
"GO:0010748","BP"
"GO:0010749","BP"
"GO:0010750","BP"
"GO:0010751","BP"
"GO:0010752","BP"
"GO:0010753","BP"
"GO:0010754","BP"
"GO:0010755","BP"
"GO:0010756","BP"
"GO:0010757","BP"
"GO:0010758","BP"
"GO:0010759","BP"
"GO:0010760","BP"
"GO:0010761","BP"
"GO:0010762","BP"
"GO:0010763","BP"
"GO:0010764","BP"
"GO:0010765","BP"
"GO:0010766","BP"
"GO:0010767","BP"
"GO:0010768","BP"
"GO:0010769","BP"
"GO:0010770","BP"
"GO:0010771","BP"
"GO:0010772","BP"
"GO:0010773","BP"
"GO:0010774","BP"
"GO:0010775","BP"
"GO:0010776","BP"
"GO:0010777","BP"
"GO:0010778","BP"
"GO:0010779","BP"
"GO:0010780","BP"
"GO:0010781","BP"
"GO:0010782","BP"
"GO:0010783","BP"
"GO:0010784","BP"
"GO:0010785","BP"
"GO:0010786","BP"
"GO:0010787","BP"
"GO:0010788","BP"
"GO:0010789","BP"
"GO:0010790","BP"
"GO:0010791","BP"
"GO:0010792","BP"
"GO:0010793","BP"
"GO:0010794","BP"
"GO:0010795","BP"
"GO:0010796","BP"
"GO:0010797","BP"
"GO:0010798","BP"
"GO:0010799","BP"
"GO:0010800","BP"
"GO:0010801","BP"
"GO:0010803","BP"
"GO:0010804","BP"
"GO:0010807","BP"
"GO:0010808","BP"
"GO:0010809","BP"
"GO:0010810","BP"
"GO:0010811","BP"
"GO:0010812","BP"
"GO:0010813","BP"
"GO:0010814","BP"
"GO:0010815","BP"
"GO:0010816","BP"
"GO:0010817","BP"
"GO:0010818","BP"
"GO:0010819","BP"
"GO:0010820","BP"
"GO:0010821","BP"
"GO:0010822","BP"
"GO:0010823","BP"
"GO:0010824","BP"
"GO:0010825","BP"
"GO:0010826","BP"
"GO:0010827","BP"
"GO:0010828","BP"
"GO:0010829","BP"
"GO:0010830","BP"
"GO:0010831","BP"
"GO:0010832","BP"
"GO:0010833","BP"
"GO:0010835","BP"
"GO:0010836","BP"
"GO:0010837","BP"
"GO:0010838","BP"
"GO:0010839","BP"
"GO:0010840","BP"
"GO:0010841","BP"
"GO:0010842","BP"
"GO:0010844","MF"
"GO:0010845","BP"
"GO:0010846","BP"
"GO:0010847","BP"
"GO:0010848","BP"
"GO:0010849","BP"
"GO:0010850","BP"
"GO:0010851","MF"
"GO:0010852","MF"
"GO:0010853","MF"
"GO:0010854","MF"
"GO:0010855","MF"
"GO:0010856","MF"
"GO:0010857","MF"
"GO:0010858","MF"
"GO:0010859","MF"
"GO:0010862","BP"
"GO:0010863","BP"
"GO:0010864","BP"
"GO:0010865","BP"
"GO:0010866","BP"
"GO:0010867","BP"
"GO:0010868","BP"
"GO:0010872","BP"
"GO:0010873","BP"
"GO:0010874","BP"
"GO:0010875","BP"
"GO:0010876","BP"
"GO:0010877","BP"
"GO:0010878","BP"
"GO:0010879","BP"
"GO:0010880","BP"
"GO:0010881","BP"
"GO:0010882","BP"
"GO:0010883","BP"
"GO:0010884","BP"
"GO:0010885","BP"
"GO:0010886","BP"
"GO:0010887","BP"
"GO:0010888","BP"
"GO:0010889","BP"
"GO:0010890","BP"
"GO:0010891","BP"
"GO:0010892","BP"
"GO:0010893","BP"
"GO:0010894","BP"
"GO:0010895","BP"
"GO:0010896","BP"
"GO:0010897","BP"
"GO:0010898","BP"
"GO:0010899","BP"
"GO:0010900","BP"
"GO:0010901","BP"
"GO:0010902","BP"
"GO:0010903","BP"
"GO:0010904","BP"
"GO:0010905","BP"
"GO:0010906","BP"
"GO:0010907","BP"
"GO:0010908","BP"
"GO:0010909","BP"
"GO:0010910","BP"
"GO:0010911","BP"
"GO:0010912","BP"
"GO:0010913","BP"
"GO:0010914","BP"
"GO:0010915","BP"
"GO:0010916","BP"
"GO:0010917","BP"
"GO:0010918","BP"
"GO:0010919","BP"
"GO:0010920","BP"
"GO:0010921","BP"
"GO:0010922","BP"
"GO:0010923","BP"
"GO:0010924","BP"
"GO:0010925","BP"
"GO:0010927","BP"
"GO:0010928","BP"
"GO:0010929","BP"
"GO:0010930","BP"
"GO:0010931","BP"
"GO:0010932","BP"
"GO:0010933","BP"
"GO:0010934","BP"
"GO:0010935","BP"
"GO:0010936","BP"
"GO:0010937","BP"
"GO:0010938","BP"
"GO:0010939","BP"
"GO:0010940","BP"
"GO:0010941","BP"
"GO:0010942","BP"
"GO:0010943","MF"
"GO:0010944","BP"
"GO:0010945","MF"
"GO:0010946","BP"
"GO:0010947","BP"
"GO:0010948","BP"
"GO:0010949","BP"
"GO:0010950","BP"
"GO:0010951","BP"
"GO:0010952","BP"
"GO:0010954","BP"
"GO:0010955","BP"
"GO:0010956","BP"
"GO:0010957","BP"
"GO:0010958","BP"
"GO:0010959","BP"
"GO:0010960","BP"
"GO:0010961","BP"
"GO:0010962","BP"
"GO:0010963","BP"
"GO:0010964","BP"
"GO:0010965","BP"
"GO:0010966","BP"
"GO:0010967","BP"
"GO:0010968","BP"
"GO:0010969","BP"
"GO:0010970","BP"
"GO:0010971","BP"
"GO:0010972","BP"
"GO:0010973","BP"
"GO:0010974","BP"
"GO:0010975","BP"
"GO:0010976","BP"
"GO:0010977","BP"
"GO:0010979","BP"
"GO:0010980","BP"
"GO:0010981","BP"
"GO:0010982","BP"
"GO:0010983","BP"
"GO:0010984","BP"
"GO:0010985","BP"
"GO:0010986","BP"
"GO:0010987","BP"
"GO:0010988","BP"
"GO:0010989","BP"
"GO:0010990","BP"
"GO:0010991","BP"
"GO:0010992","BP"
"GO:0010994","BP"
"GO:0010995","BP"
"GO:0010996","BP"
"GO:0010997","MF"
"GO:0010998","BP"
"GO:0010999","BP"
"GO:0011000","BP"
"GO:0012501","BP"
"GO:0012502","BP"
"GO:0012505","CC"
"GO:0012506","CC"
"GO:0012507","CC"
"GO:0012508","CC"
"GO:0012509","CC"
"GO:0012510","CC"
"GO:0012511","CC"
"GO:0014001","BP"
"GO:0014002","BP"
"GO:0014003","BP"
"GO:0014004","BP"
"GO:0014005","BP"
"GO:0014006","BP"
"GO:0014007","BP"
"GO:0014008","BP"
"GO:0014009","BP"
"GO:0014010","BP"
"GO:0014011","BP"
"GO:0014012","BP"
"GO:0014013","BP"
"GO:0014014","BP"
"GO:0014015","BP"
"GO:0014016","BP"
"GO:0014017","BP"
"GO:0014018","BP"
"GO:0014019","BP"
"GO:0014020","BP"
"GO:0014021","BP"
"GO:0014022","BP"
"GO:0014023","BP"
"GO:0014024","BP"
"GO:0014025","BP"
"GO:0014027","BP"
"GO:0014028","BP"
"GO:0014029","BP"
"GO:0014030","BP"
"GO:0014031","BP"
"GO:0014032","BP"
"GO:0014033","BP"
"GO:0014034","BP"
"GO:0014035","BP"
"GO:0014036","BP"
"GO:0014037","BP"
"GO:0014038","BP"
"GO:0014039","BP"
"GO:0014040","BP"
"GO:0014041","BP"
"GO:0014042","BP"
"GO:0014043","BP"
"GO:0014044","BP"
"GO:0014045","BP"
"GO:0014046","BP"
"GO:0014047","BP"
"GO:0014048","BP"
"GO:0014049","BP"
"GO:0014050","BP"
"GO:0014051","BP"
"GO:0014052","BP"
"GO:0014053","BP"
"GO:0014054","BP"
"GO:0014055","BP"
"GO:0014056","BP"
"GO:0014057","BP"
"GO:0014058","BP"
"GO:0014059","BP"
"GO:0014060","BP"
"GO:0014061","BP"
"GO:0014062","BP"
"GO:0014063","BP"
"GO:0014064","BP"
"GO:0014065","BP"
"GO:0014066","BP"
"GO:0014067","BP"
"GO:0014068","BP"
"GO:0014069","CC"
"GO:0014070","BP"
"GO:0014071","BP"
"GO:0014072","BP"
"GO:0014073","BP"
"GO:0014074","BP"
"GO:0014075","BP"
"GO:0014076","BP"
"GO:0014701","CC"
"GO:0014702","CC"
"GO:0014703","BP"
"GO:0014704","CC"
"GO:0014705","CC"
"GO:0014706","BP"
"GO:0014707","BP"
"GO:0014708","BP"
"GO:0014709","BP"
"GO:0014710","BP"
"GO:0014711","BP"
"GO:0014712","BP"
"GO:0014713","BP"
"GO:0014714","BP"
"GO:0014715","BP"
"GO:0014716","BP"
"GO:0014717","BP"
"GO:0014718","BP"
"GO:0014719","BP"
"GO:0014720","BP"
"GO:0014721","BP"
"GO:0014722","BP"
"GO:0014723","BP"
"GO:0014724","BP"
"GO:0014725","BP"
"GO:0014726","BP"
"GO:0014727","BP"
"GO:0014728","BP"
"GO:0014729","BP"
"GO:0014730","BP"
"GO:0014731","CC"
"GO:0014732","BP"
"GO:0014733","BP"
"GO:0014734","BP"
"GO:0014735","BP"
"GO:0014736","BP"
"GO:0014737","BP"
"GO:0014738","BP"
"GO:0014739","BP"
"GO:0014740","BP"
"GO:0014741","BP"
"GO:0014742","BP"
"GO:0014743","BP"
"GO:0014744","BP"
"GO:0014745","BP"
"GO:0014746","BP"
"GO:0014747","BP"
"GO:0014748","BP"
"GO:0014801","CC"
"GO:0014802","CC"
"GO:0014803","CC"
"GO:0014804","CC"
"GO:0014805","BP"
"GO:0014806","BP"
"GO:0014807","BP"
"GO:0014808","BP"
"GO:0014809","BP"
"GO:0014810","BP"
"GO:0014811","BP"
"GO:0014812","BP"
"GO:0014813","BP"
"GO:0014814","BP"
"GO:0014815","BP"
"GO:0014816","BP"
"GO:0014817","BP"
"GO:0014818","BP"
"GO:0014819","BP"
"GO:0014820","BP"
"GO:0014821","BP"
"GO:0014822","BP"
"GO:0014823","BP"
"GO:0014824","BP"
"GO:0014825","BP"
"GO:0014826","BP"
"GO:0014827","BP"
"GO:0014828","BP"
"GO:0014829","BP"
"GO:0014830","BP"
"GO:0014831","BP"
"GO:0014832","BP"
"GO:0014833","BP"
"GO:0014834","BP"
"GO:0014835","BP"
"GO:0014836","BP"
"GO:0014837","BP"
"GO:0014838","BP"
"GO:0014839","BP"
"GO:0014841","BP"
"GO:0014842","BP"
"GO:0014843","BP"
"GO:0014844","BP"
"GO:0014845","BP"
"GO:0014846","BP"
"GO:0014847","BP"
"GO:0014848","BP"
"GO:0014849","BP"
"GO:0014850","BP"
"GO:0014852","BP"
"GO:0014853","BP"
"GO:0014854","BP"
"GO:0014855","BP"
"GO:0014856","BP"
"GO:0014857","BP"
"GO:0014858","BP"
"GO:0014859","BP"
"GO:0014860","BP"
"GO:0014861","BP"
"GO:0014862","BP"
"GO:0014863","BP"
"GO:0014864","BP"
"GO:0014865","BP"
"GO:0014866","BP"
"GO:0014868","BP"
"GO:0014869","BP"
"GO:0014870","BP"
"GO:0014871","BP"
"GO:0014872","BP"
"GO:0014873","BP"
"GO:0014874","BP"
"GO:0014875","BP"
"GO:0014876","BP"
"GO:0014877","BP"
"GO:0014878","BP"
"GO:0014879","BP"
"GO:0014880","BP"
"GO:0014881","BP"
"GO:0014882","BP"
"GO:0014883","BP"
"GO:0014884","BP"
"GO:0014885","BP"
"GO:0014886","BP"
"GO:0014887","BP"
"GO:0014888","BP"
"GO:0014889","BP"
"GO:0014890","BP"
"GO:0014891","BP"
"GO:0014893","BP"
"GO:0014894","BP"
"GO:0014895","BP"
"GO:0014896","BP"
"GO:0014897","BP"
"GO:0014898","BP"
"GO:0014899","BP"
"GO:0014900","BP"
"GO:0014901","BP"
"GO:0014902","BP"
"GO:0014904","BP"
"GO:0014905","BP"
"GO:0014906","BP"
"GO:0014908","BP"
"GO:0014909","BP"
"GO:0014910","BP"
"GO:0014911","BP"
"GO:0014912","BP"
"GO:0014914","BP"
"GO:0014915","BP"
"GO:0014916","BP"
"GO:0015002","MF"
"GO:0015009","BP"
"GO:0015010","BP"
"GO:0015011","BP"
"GO:0015012","BP"
"GO:0015013","BP"
"GO:0015014","BP"
"GO:0015015","BP"
"GO:0015016","MF"
"GO:0015018","MF"
"GO:0015019","MF"
"GO:0015020","MF"
"GO:0015021","MF"
"GO:0015024","MF"
"GO:0015026","MF"
"GO:0015030","CC"
"GO:0015031","BP"
"GO:0015035","MF"
"GO:0015036","MF"
"GO:0015037","MF"
"GO:0015038","MF"
"GO:0015039","MF"
"GO:0015042","MF"
"GO:0015043","MF"
"GO:0015044","MF"
"GO:0015045","MF"
"GO:0015046","MF"
"GO:0015047","MF"
"GO:0015048","MF"
"GO:0015049","MF"
"GO:0015050","CC"
"GO:0015052","MF"
"GO:0015054","MF"
"GO:0015055","MF"
"GO:0015056","MF"
"GO:0015057","MF"
"GO:0015066","MF"
"GO:0015067","MF"
"GO:0015068","MF"
"GO:0015069","MF"
"GO:0015074","BP"
"GO:0015075","MF"
"GO:0015078","MF"
"GO:0015079","MF"
"GO:0015080","MF"
"GO:0015081","MF"
"GO:0015083","MF"
"GO:0015085","MF"
"GO:0015086","MF"
"GO:0015087","MF"
"GO:0015089","MF"
"GO:0015090","MF"
"GO:0015091","MF"
"GO:0015092","MF"
"GO:0015093","MF"
"GO:0015094","MF"
"GO:0015095","MF"
"GO:0015097","MF"
"GO:0015098","MF"
"GO:0015099","MF"
"GO:0015100","MF"
"GO:0015101","MF"
"GO:0015103","MF"
"GO:0015104","MF"
"GO:0015105","MF"
"GO:0015106","MF"
"GO:0015107","MF"
"GO:0015108","MF"
"GO:0015109","MF"
"GO:0015110","MF"
"GO:0015111","MF"
"GO:0015112","MF"
"GO:0015113","MF"
"GO:0015114","MF"
"GO:0015115","MF"
"GO:0015116","MF"
"GO:0015117","MF"
"GO:0015119","MF"
"GO:0015120","MF"
"GO:0015121","MF"
"GO:0015123","MF"
"GO:0015124","MF"
"GO:0015125","MF"
"GO:0015126","MF"
"GO:0015127","MF"
"GO:0015128","MF"
"GO:0015129","MF"
"GO:0015130","MF"
"GO:0015131","MF"
"GO:0015132","MF"
"GO:0015133","MF"
"GO:0015134","MF"
"GO:0015135","MF"
"GO:0015136","MF"
"GO:0015137","MF"
"GO:0015138","MF"
"GO:0015139","MF"
"GO:0015140","MF"
"GO:0015141","MF"
"GO:0015142","MF"
"GO:0015143","MF"
"GO:0015144","MF"
"GO:0015145","MF"
"GO:0015146","MF"
"GO:0015147","MF"
"GO:0015148","MF"
"GO:0015149","MF"
"GO:0015150","MF"
"GO:0015151","MF"
"GO:0015152","MF"
"GO:0015153","MF"
"GO:0015154","MF"
"GO:0015155","MF"
"GO:0015156","MF"
"GO:0015157","MF"
"GO:0015158","MF"
"GO:0015159","MF"
"GO:0015160","MF"
"GO:0015161","MF"
"GO:0015164","MF"
"GO:0015165","MF"
"GO:0015166","MF"
"GO:0015167","MF"
"GO:0015168","MF"
"GO:0015169","MF"
"GO:0015170","MF"
"GO:0015171","MF"
"GO:0015172","MF"
"GO:0015173","MF"
"GO:0015174","MF"
"GO:0015175","MF"
"GO:0015179","MF"
"GO:0015180","MF"
"GO:0015181","MF"
"GO:0015182","MF"
"GO:0015183","MF"
"GO:0015184","MF"
"GO:0015185","MF"
"GO:0015186","MF"
"GO:0015187","MF"
"GO:0015188","MF"
"GO:0015189","MF"
"GO:0015190","MF"
"GO:0015191","MF"
"GO:0015192","MF"
"GO:0015193","MF"
"GO:0015194","MF"
"GO:0015195","MF"
"GO:0015196","MF"
"GO:0015199","MF"
"GO:0015200","MF"
"GO:0015203","MF"
"GO:0015204","MF"
"GO:0015205","MF"
"GO:0015207","MF"
"GO:0015208","MF"
"GO:0015209","MF"
"GO:0015210","MF"
"GO:0015211","MF"
"GO:0015212","MF"
"GO:0015213","MF"
"GO:0015214","MF"
"GO:0015215","MF"
"GO:0015216","MF"
"GO:0015217","MF"
"GO:0015218","MF"
"GO:0015220","MF"
"GO:0015221","MF"
"GO:0015224","MF"
"GO:0015225","MF"
"GO:0015226","MF"
"GO:0015227","MF"
"GO:0015228","MF"
"GO:0015229","MF"
"GO:0015230","MF"
"GO:0015231","MF"
"GO:0015232","MF"
"GO:0015233","MF"
"GO:0015234","MF"
"GO:0015240","MF"
"GO:0015243","MF"
"GO:0015244","MF"
"GO:0015245","MF"
"GO:0015247","MF"
"GO:0015248","MF"
"GO:0015250","MF"
"GO:0015251","MF"
"GO:0015252","MF"
"GO:0015254","MF"
"GO:0015255","MF"
"GO:0015264","MF"
"GO:0015265","MF"
"GO:0015267","MF"
"GO:0015269","MF"
"GO:0015271","MF"
"GO:0015272","MF"
"GO:0015274","MF"
"GO:0015275","MF"
"GO:0015276","MF"
"GO:0015277","MF"
"GO:0015278","MF"
"GO:0015279","MF"
"GO:0015280","MF"
"GO:0015284","MF"
"GO:0015288","MF"
"GO:0015291","MF"
"GO:0015292","MF"
"GO:0015293","MF"
"GO:0015294","MF"
"GO:0015295","MF"
"GO:0015296","MF"
"GO:0015297","MF"
"GO:0015298","MF"
"GO:0015299","MF"
"GO:0015301","MF"
"GO:0015304","MF"
"GO:0015306","MF"
"GO:0015308","MF"
"GO:0015309","MF"
"GO:0015310","MF"
"GO:0015311","MF"
"GO:0015312","MF"
"GO:0015313","MF"
"GO:0015314","MF"
"GO:0015315","MF"
"GO:0015317","MF"
"GO:0015318","MF"
"GO:0015319","MF"
"GO:0015322","MF"
"GO:0015324","MF"
"GO:0015325","MF"
"GO:0015327","MF"
"GO:0015328","MF"
"GO:0015330","MF"
"GO:0015333","MF"
"GO:0015334","MF"
"GO:0015341","MF"
"GO:0015343","MF"
"GO:0015344","MF"
"GO:0015345","MF"
"GO:0015346","MF"
"GO:0015347","MF"
"GO:0015349","MF"
"GO:0015350","MF"
"GO:0015351","MF"
"GO:0015355","MF"
"GO:0015360","MF"
"GO:0015361","MF"
"GO:0015362","MF"
"GO:0015364","MF"
"GO:0015366","MF"
"GO:0015367","MF"
"GO:0015368","MF"
"GO:0015369","MF"
"GO:0015370","MF"
"GO:0015371","MF"
"GO:0015373","MF"
"GO:0015374","MF"
"GO:0015375","MF"
"GO:0015377","MF"
"GO:0015378","MF"
"GO:0015379","MF"
"GO:0015381","MF"
"GO:0015382","MF"
"GO:0015383","MF"
"GO:0015385","MF"
"GO:0015386","MF"
"GO:0015387","MF"
"GO:0015389","MF"
"GO:0015390","MF"
"GO:0015391","MF"
"GO:0015394","MF"
"GO:0015395","MF"
"GO:0015398","MF"
"GO:0015399","MF"
"GO:0015400","MF"
"GO:0015401","MF"
"GO:0015407","MF"
"GO:0015408","MF"
"GO:0015410","MF"
"GO:0015411","MF"
"GO:0015412","MF"
"GO:0015413","MF"
"GO:0015414","MF"
"GO:0015415","MF"
"GO:0015416","MF"
"GO:0015417","MF"
"GO:0015418","MF"
"GO:0015419","MF"
"GO:0015420","MF"
"GO:0015421","MF"
"GO:0015422","MF"
"GO:0015423","MF"
"GO:0015424","MF"
"GO:0015425","MF"
"GO:0015426","MF"
"GO:0015430","MF"
"GO:0015431","MF"
"GO:0015432","MF"
"GO:0015433","MF"
"GO:0015434","MF"
"GO:0015436","MF"
"GO:0015437","MF"
"GO:0015438","MF"
"GO:0015439","MF"
"GO:0015440","MF"
"GO:0015441","MF"
"GO:0015444","MF"
"GO:0015445","MF"
"GO:0015446","MF"
"GO:0015450","MF"
"GO:0015451","MF"
"GO:0015452","MF"
"GO:0015453","MF"
"GO:0015454","MF"
"GO:0015459","MF"
"GO:0015462","MF"
"GO:0015464","MF"
"GO:0015467","MF"
"GO:0015471","MF"
"GO:0015473","MF"
"GO:0015474","MF"
"GO:0015475","MF"
"GO:0015476","MF"
"GO:0015478","MF"
"GO:0015481","MF"
"GO:0015483","MF"
"GO:0015485","MF"
"GO:0015486","MF"
"GO:0015487","MF"
"GO:0015488","MF"
"GO:0015489","MF"
"GO:0015491","MF"
"GO:0015492","MF"
"GO:0015493","MF"
"GO:0015494","MF"
"GO:0015495","MF"
"GO:0015496","MF"
"GO:0015498","MF"
"GO:0015499","MF"
"GO:0015501","MF"
"GO:0015503","MF"
"GO:0015504","MF"
"GO:0015505","MF"
"GO:0015506","MF"
"GO:0015513","MF"
"GO:0015514","MF"
"GO:0015515","MF"
"GO:0015516","MF"
"GO:0015517","MF"
"GO:0015518","MF"
"GO:0015519","MF"
"GO:0015520","MF"
"GO:0015526","MF"
"GO:0015527","MF"
"GO:0015528","MF"
"GO:0015529","MF"
"GO:0015530","MF"
"GO:0015531","MF"
"GO:0015532","MF"
"GO:0015533","MF"
"GO:0015535","MF"
"GO:0015537","MF"
"GO:0015538","MF"
"GO:0015539","MF"
"GO:0015540","MF"
"GO:0015541","MF"
"GO:0015544","MF"
"GO:0015545","MF"
"GO:0015546","MF"
"GO:0015547","MF"
"GO:0015548","MF"
"GO:0015549","MF"
"GO:0015550","MF"
"GO:0015551","MF"
"GO:0015552","MF"
"GO:0015553","MF"
"GO:0015554","MF"
"GO:0015556","MF"
"GO:0015558","MF"
"GO:0015561","MF"
"GO:0015562","MF"
"GO:0015565","MF"
"GO:0015566","MF"
"GO:0015567","MF"
"GO:0015568","MF"
"GO:0015571","MF"
"GO:0015572","MF"
"GO:0015573","MF"
"GO:0015574","MF"
"GO:0015575","MF"
"GO:0015576","MF"
"GO:0015577","MF"
"GO:0015578","MF"
"GO:0015591","MF"
"GO:0015592","MF"
"GO:0015593","MF"
"GO:0015594","MF"
"GO:0015599","MF"
"GO:0015603","MF"
"GO:0015605","MF"
"GO:0015606","MF"
"GO:0015607","MF"
"GO:0015608","MF"
"GO:0015611","MF"
"GO:0015612","MF"
"GO:0015614","MF"
"GO:0015615","MF"
"GO:0015616","MF"
"GO:0015620","MF"
"GO:0015621","MF"
"GO:0015624","MF"
"GO:0015625","MF"
"GO:0015626","MF"
"GO:0015627","CC"
"GO:0015628","BP"
"GO:0015629","CC"
"GO:0015630","CC"
"GO:0015631","MF"
"GO:0015633","MF"
"GO:0015636","MF"
"GO:0015638","MF"
"GO:0015640","MF"
"GO:0015643","MF"
"GO:0015645","MF"
"GO:0015647","MF"
"GO:0015648","MF"
"GO:0015649","MF"
"GO:0015650","MF"
"GO:0015651","MF"
"GO:0015652","MF"
"GO:0015653","MF"
"GO:0015654","MF"
"GO:0015655","MF"
"GO:0015657","MF"
"GO:0015658","MF"
"GO:0015660","MF"
"GO:0015661","MF"
"GO:0015662","MF"
"GO:0015663","MF"
"GO:0015665","MF"
"GO:0015666","MF"
"GO:0015667","MF"
"GO:0015668","MF"
"GO:0015669","BP"
"GO:0015670","BP"
"GO:0015671","BP"
"GO:0015673","BP"
"GO:0015675","BP"
"GO:0015676","BP"
"GO:0015677","BP"
"GO:0015679","BP"
"GO:0015680","BP"
"GO:0015685","BP"
"GO:0015686","BP"
"GO:0015687","BP"
"GO:0015689","BP"
"GO:0015690","BP"
"GO:0015691","BP"
"GO:0015692","BP"
"GO:0015693","BP"
"GO:0015694","BP"
"GO:0015695","BP"
"GO:0015696","BP"
"GO:0015697","BP"
"GO:0015698","BP"
"GO:0015699","BP"
"GO:0015700","BP"
"GO:0015701","BP"
"GO:0015702","BP"
"GO:0015703","BP"
"GO:0015704","BP"
"GO:0015705","BP"
"GO:0015706","BP"
"GO:0015707","BP"
"GO:0015708","BP"
"GO:0015709","BP"
"GO:0015710","BP"
"GO:0015711","BP"
"GO:0015712","BP"
"GO:0015713","BP"
"GO:0015714","BP"
"GO:0015715","BP"
"GO:0015716","BP"
"GO:0015717","BP"
"GO:0015718","BP"
"GO:0015719","BP"
"GO:0015720","BP"
"GO:0015721","BP"
"GO:0015722","BP"
"GO:0015723","BP"
"GO:0015724","BP"
"GO:0015726","BP"
"GO:0015727","BP"
"GO:0015728","BP"
"GO:0015729","BP"
"GO:0015730","BP"
"GO:0015731","BP"
"GO:0015732","BP"
"GO:0015733","BP"
"GO:0015734","BP"
"GO:0015735","BP"
"GO:0015736","BP"
"GO:0015737","BP"
"GO:0015738","BP"
"GO:0015739","BP"
"GO:0015740","BP"
"GO:0015741","BP"
"GO:0015742","BP"
"GO:0015743","BP"
"GO:0015744","BP"
"GO:0015745","BP"
"GO:0015746","BP"
"GO:0015747","BP"
"GO:0015748","BP"
"GO:0015749","BP"
"GO:0015750","BP"
"GO:0015751","BP"
"GO:0015752","BP"
"GO:0015753","BP"
"GO:0015754","BP"
"GO:0015755","BP"
"GO:0015756","BP"
"GO:0015757","BP"
"GO:0015759","BP"
"GO:0015760","BP"
"GO:0015761","BP"
"GO:0015762","BP"
"GO:0015763","BP"
"GO:0015764","BP"
"GO:0015765","BP"
"GO:0015766","BP"
"GO:0015767","BP"
"GO:0015768","BP"
"GO:0015769","BP"
"GO:0015770","BP"
"GO:0015771","BP"
"GO:0015772","BP"
"GO:0015773","BP"
"GO:0015774","BP"
"GO:0015775","BP"
"GO:0015776","BP"
"GO:0015777","BP"
"GO:0015778","BP"
"GO:0015779","BP"
"GO:0015780","BP"
"GO:0015782","BP"
"GO:0015783","BP"
"GO:0015786","BP"
"GO:0015787","BP"
"GO:0015789","BP"
"GO:0015790","BP"
"GO:0015791","BP"
"GO:0015792","BP"
"GO:0015793","BP"
"GO:0015794","BP"
"GO:0015795","BP"
"GO:0015796","BP"
"GO:0015797","BP"
"GO:0015798","BP"
"GO:0015799","BP"
"GO:0015800","BP"
"GO:0015801","BP"
"GO:0015802","BP"
"GO:0015803","BP"
"GO:0015804","BP"
"GO:0015805","BP"
"GO:0015806","BP"
"GO:0015807","BP"
"GO:0015808","BP"
"GO:0015809","BP"
"GO:0015810","BP"
"GO:0015811","BP"
"GO:0015812","BP"
"GO:0015813","BP"
"GO:0015814","BP"
"GO:0015816","BP"
"GO:0015817","BP"
"GO:0015818","BP"
"GO:0015819","BP"
"GO:0015820","BP"
"GO:0015821","BP"
"GO:0015822","BP"
"GO:0015823","BP"
"GO:0015824","BP"
"GO:0015825","BP"
"GO:0015826","BP"
"GO:0015827","BP"
"GO:0015828","BP"
"GO:0015829","BP"
"GO:0015830","BP"
"GO:0015833","BP"
"GO:0015834","BP"
"GO:0015835","BP"
"GO:0015836","BP"
"GO:0015837","BP"
"GO:0015838","BP"
"GO:0015839","BP"
"GO:0015840","BP"
"GO:0015841","BP"
"GO:0015842","BP"
"GO:0015843","BP"
"GO:0015844","BP"
"GO:0015846","BP"
"GO:0015847","BP"
"GO:0015848","BP"
"GO:0015849","BP"
