"","CoD1","CoD2","CoD3","CoN1","CoN2","CoN3","FeD1","FeD2","FeD3","FeN1","FeN2","FeN3","PhD1","PhD2","PhD3","PhN1","PhN2","PhN3","ReD1","ReD2","ReD3","ReN1","ReN2","ReN3"
"3173",16.0120407373915,14.8210627380156,15.1534870382131,11.4239842234911,11.3120977499592,11.4351324685704,15.9071365031203,14.8946478813299,15.6902774798245,11.5565578971524,11.4962605443518,11.5190067691973,14.1404432102228,13.6474673510798,13.3144591896751,10.8138200768909,10.5315722033949,10.3935794740007,15.3910778605894,14.737550433541,15.1821609794604,11.0746791886753,10.9329907024414,11.3480775256343
"3174",6.8663998470709,7.98763097141968,7.80872160237555,8.40129628914125,8.30068773794036,8.39248716563102,7.31383262913309,7.84048984906927,7.71064387335656,8.82328500762602,9.14946166144025,8.96365644242329,8.05852898692617,8.3164226578556,8.66590908991468,8.02850278352389,8.7681055024317,8.77813370772964,7.47943632917785,8.45702639649612,7.99474365298638,7.61004388680871,8.17861880572192,7.95896291816202
"3175",9.55163235974064,9.24625521931412,9.51052071789871,8.22642616585308,8.07809881723071,8.27131966388201,9.32841370197445,9.01451147288194,9.26028203710377,8.14920686257605,8.36054488964264,8.58790303704648,9.94456379150934,10.0453872482416,10.3213381071285,8.73315568063725,8.68493262194515,8.87028395664678,9.51067440568115,9.60173013319616,9.94169849722664,8.26402515860138,8.31577415628154,8.06143647086265
"3176",9.12875943634519,9.1170912986194,9.30867640898511,8.10901423012809,7.90400503593004,8.05176926070065,8.66088693687733,8.35266715632384,8.61829242133571,7.77380969650814,7.65771802710615,7.40851676266415,9.554368032822,9.75801083489655,9.81221894647191,8.4805842698593,8.52315010745556,8.37758959739837,8.24050648899384,8.86821703199404,8.48717351041456,7.70168600235198,7.80059072769648,8.05238411176409
"3177",13.7979072129754,13.4100916844114,13.5081825635495,10.8264550270003,10.6909832006318,10.8651904961184,13.0528988493303,12.7737059248982,12.8997897258178,10.4769347887992,10.2377759083396,10.3763720835932,13.2321622632996,12.9020355669401,13.0701931329496,11.553943000564,11.5968279837552,11.6699361688342,13.0952843583004,11.8495082654847,12.1146467071061,11.4816759194365,11.1312278157179,10.7103755010595
"3178",10.1603914116616,11.1380696701453,10.5992424165778,9.82840598116359,10.5265804718448,10.8753355352303,10.3555900295101,9.69599707457064,10.0515961667525,9.37692371074449,8.78017865859285,9.13988036827063,12.3993846502776,12.9288300359231,13.7441914326715,12.5371668434069,12.8941168210122,13.5188445118598,10.2138615216705,9.42583109224056,9.86618518253062,10.6204861098317,9.15368218463649,9.73975684604551
"3179",10.6068584505396,9.32021628768161,10.0083817448632,9.75151609578445,9.68120513656466,9.84043778596642,11.1761669609417,9.64111855910142,10.0694036080664,9.69070261360934,9.85982906214348,9.818571019884,10.0463420453459,10.1853347317927,10.5367409890658,11.0491740753042,10.758363050465,10.996340178042,10.3552839246907,9.4203007021935,9.80570783921965,10.1066712195984,10.5740817662307,10.0351663460133
"3180",11.9571188743601,11.2840056648516,11.3665232371544,13.0168765105757,13.139822386795,12.9803198826177,13.2055677317059,12.6998545046363,12.7856760722241,13.4928098186513,13.8418160664323,13.5720473611047,11.8624154632326,11.6384209346324,11.7310543788546,13.9239684304542,13.9548245102883,14.0126514187096,13.3319494950946,11.9950434466082,12.2458667001936,14.5494068401283,14.178332773466,13.8794041340939
"3181",5.92418947687089,5.9565035867937,5.34659125897809,4.73135758415849,5.04584067327518,5.12556887541394,4.97634487464798,5.65571152857548,5.54377651614693,4.71813996329804,4.5669351916205,4.5472922803864,5.72460003516746,5.36687269993925,5.03149733122371,4.03491608921334,4.38046690284249,4.75121723304831,4.22580774397908,5.97777080197514,5.29644425636694,4.15136531817655,4.3168143783139,4.87762095744345
"3182",7.15476065631945,7.0894054707154,7.17712986468079,7.2445362032041,7.68746447145695,7.50111370808444,6.65135846009426,6.48518325648902,6.93061538965487,7.14009060913001,7.24732225900542,7.09155747910082,7.49242748373076,8.02875952796237,8.49056458208826,7.72660858020307,8.46130800602435,8.52538034967596,6.89896243500666,6.73195438089846,7.21883617562442,7.1273297028249,7.66144122393028,6.76095680889739
"3183",3.86794473226927,5.40817181264789,4.7186948253245,6.28123916508157,5.58617187005901,5.78280427923205,3.5751729253254,4.75004847688529,4.52501340330113,5.62309125201162,5.18376386842134,5.43110428237415,5.26623556658942,5.23862533220964,5.20795259089194,4.21533098214583,5.02800884241983,4.72118860794803,4.12321705550657,5.75004694318906,5.37908208944267,4.87310383292165,5.07522426941087,5.1638746917938
"3184",10.0605136141408,9.29718878723561,9.49943829680018,11.087993544464,10.9822336381457,11.0772334108915,9.87644791390879,9.03611264183591,9.61312521187702,11.2738765637673,10.9495989886915,11.0808403965605,9.39103819419259,9.16741394116964,9.092475547457,9.8726288726431,9.5522077054728,9.42012841745856,9.39613280329951,9.38630715802941,9.37508560342248,10.4269558519261,10.8399952383434,11.015584858499
"3185",7.28112118847244,7.0260078550761,7.10235543203361,6.75379756965383,6.95083198273964,6.75725352519128,7.62105771797327,8.00872705851691,7.72392659633753,7.49859054555127,7.57830543456371,7.83341937000959,8.09296847737674,7.01975268713894,7.35963324407616,6.81229199627586,6.29081022670991,6.24844903254496,8.00173721704561,7.94294106493418,8.15105909826198,7.02715372736912,6.96928814347438,7.46199140718174
"3186",9.55378762761418,9.06119205274852,9.18079390908337,10.0442886062171,10.0163024487517,10.0255822841241,9.62777087470219,9.39197384325556,9.18511252611098,10.3266961093054,10.52199486453,10.4695909686803,9.79616458878123,9.68281482312134,9.92537656758129,10.2648717611904,10.1196396291809,10.0641219029324,9.78954392828908,9.68848850302441,9.74275179344252,10.560693595697,10.8588693663029,10.6946376336835
"3187",0.740845879422762,0.841244293239019,1.33568539564168,1.06039354278429,0.818903189450335,1.45977535661408,0.841738841492278,0.903116749204815,1.38678256448016,1.11186785921477,0.517596986533416,1.60898102021245,1.68135242872669,1.94711090449156,1.38149013896766,1.87263868899453,1.69134671845793,1.6534687087324,0.659324800884758,1.97008043478362,0.611815472169282,0.403983065444275,1.21910921164964,0.504122312148816
